id,trailName,park,address,difficulty,length,createdAt,updatedAt
220,Trail 7 White River Loop,McCormicks Creek State Park,"Trail 7, Spencer, IN 47460",Moderate,1.7,10/24/2019,10/24/2019
221,Trail 8 at Turkey Run State Park,Turkey Run State Park,"8218 Park Rd, Marshall, IN 47859",Moderate,2.1,10/24/2019,10/24/2019
222,Trail 8 Loop Hesitation Point,Brown County State Park,"Trail 8, Nashville, IN 47448",Moderate,11.7,10/24/2019,10/24/2019
223,Tree Line Trail,For Harrison State Park,"5807 Glenn Rd, Indianapolis, IN 46216",Easy,1.1,10/24/2019,10/24/2019
224,Tunnel Falls to Lily Memorial,Clifty Falls State Park,"Tunnel Falls, Madison Township, IN 47250",Moderate,1.5,10/24/2019,10/24/2019
225,Turkey and Bird Trail,Muscatatuck Wildlife Refuge,"E County Rd 400 N, Seymour, IN 47274",Easy,1.7,10/24/2019,10/24/2019
226,Turkey Roost Run Trail,Jackson Washington State Forest,"Vallonia, Indiana 47281",Moderate,7.3,10/24/2019,10/24/2019
227,"Turkey Run 3, 10, 9, 5 Trails Loop",Turkey Run State Park,"8218 Park Rd, Marshall, IN 47859",Moderate,3.9,10/24/2019,10/24/2019
228,Turkey Run Trail 10,Turkey Run State Park,"8218 Park Rd, Marshall, IN 47859",Moderate,3.7,10/24/2019,10/24/2019
229,Turkey Run Trail 2 and trail 11,Turkey Run State Park,"8218 Park Rd, Marshall, IN 47859",Moderate,6,10/24/2019,10/24/2019
230,"Turkey Run Trails 3, 5 and 9 Loop",Turkey Run State Park,"8218 Park Rd, Marshall, IN 47859",Moderate,4.7,10/24/2019,10/24/2019
231,Twin Caves Trail,Spring Mill State Park,"266 Lawrenceport Rd, Mitchell, IN 47446",Moderate,2.2,10/24/2019,10/24/2019
232,Two Lakes Loop Trail,,"Co Rd 502, Bristow, IN 47515",Moderate,11.4,10/24/2019,10/24/2019
233,"Versailles Trail 3, 2, 1 Loop",Versailles State Park,"Milan, Indiana 47031",Moderate,6,10/24/2019,10/24/2019
234,Violet and Louis Calli Nature Preserve,,"1345 N Private Road 40 E, North Vernon, IN 47265",Easy,1.9,10/24/2019,10/24/2019
235,Wabash and Erie Canal Trail Loop,,"1808 N State Rd 25, Delphi, IN 46923",Easy,1.7,10/24/2019,10/24/2019
236,Wabash Heritage Trail,Prophetstown State Park,"6437 Prophets Rock Rd, West Lafayette, IN 47906",Easy,12.8,10/24/2019,10/24/2019
237,Walnut Trail,Harmonie State Park,"New Harmony, Indiana 47631",Easy,2.3,10/24/2019,10/24/2019
238,Washington Township Park,Washington Township Park,"6781 E US Hwy 36, Avon, IN 46123",Easy,1.1,10/24/2019,10/24/2019
239,West Beach Loop,Indian Dunes State Park,"W Beach Rd, Gary, IN 46403",Easy,1.1,10/24/2019,10/24/2019
240,West Beach Loop with Scallop Dunes and Long Lake Trail,Indiana Dunes National Park,"W Beach Rd, Gary, IN 46403",Moderate,3.4,10/24/2019,10/24/2019
241,Westwood Park,Athletic Park,"2498-2036 S County Rd 275 W, New Castle, IN 47362",Moderate,9,10/24/2019,10/24/2019
242,White River Canal Walk,White RIver State Park,"Historic Old Washington Street Pedestrian Bridge, White River Trail, Indianapolis, IN 46202",Easy,2.9,10/24/2019,10/24/2019
243,Whitewater Lake Loop,Whitewater Memorial State Park,"1353 Silver Creek Ln, Liberty, IN 47353",Moderate,8.9,10/24/2019,10/24/2019
244,Whitewater Lake Trail,Whitewater Memorial State Park,"S Pea Ridge Rd, Liberty, IN 47353",Moderate,2.8,10/24/2019,10/24/2019
245,Williams Park Trails,Williams Park,"811 Maxine Dr, Brownsburg, IN 46112",Moderate,3.5,10/24/2019,10/24/2019
246,Williamsport Falls Loop hike,,"Williamsport Falls, 25 N Monroe St, Williamsport, IN 47993",Easy,1.6,10/24/2019,10/24/2019
247,Winona Lake Trail,,"309 Boys City Dr, Winona Lake, IN 46590",Moderate,7.2,10/24/2019,10/24/2019
248,Wolf Cave Trail,McCormicks Creek State Park,"Trail 5, Spencer, IN 47460",Moderate,2,10/24/2019,10/24/2019
249,Yellowwood Lake Trail,Yellowwood State Forest,"Washington Township, Indiana 47448",Easy,4.4,10/24/2019,10/24/2019
250,Zionsville Rail to Trail,Starkey Park,"120 N 9th St, Zionsville, IN 46077",Easy,7.1,10/24/2019,10/24/2019
