id,trailName,park,address,difficulty,length,createdAt,updatedAt
117,Little Calumet River Trail Loop,Indiana Dunes National Park,"618 N Mineral Springs Rd, Porter, IN 46304",Moderate,3.9,10/24/2019,10/24/2019
118,Little Clifty Falls,,"Clifty Falls, Madison Township, IN 47250",Easy,1.6,10/24/2019,10/24/2019
119,Loop Island Trail,,"232 Silver St, New Albany, IN 47150",Easy,1,10/24/2019,10/24/2019
120,Low Gap Trail,Morgan Monroe State Park,"6251 Forest Rd, Unionville, IN 47468",Moderate,10.3,10/24/2019,10/24/2019
121,Ly-co-ki-we Trail Glenwood Dunes Trail System,,"1473 N Brummitt Rd, Chesterton, IN 46304",Moderate,7.4,10/24/2019,10/24/2019
122,Lynnville Multi-Use Trail,,"Tennyson, Indiana 47637",Moderate,11,10/24/2019,10/24/2019
123,Macgregor Park,Macgregor Park,"21107 US-31, Westfield, IN 46074",Easy,1.4,10/24/2019,10/24/2019
124,Man Hill and White River Loop,,"7800 Mann Rd, Indianapolis, IN 46221",Moderate,1.4,10/24/2019,10/24/2019
125,Mason Ridge Trail,Morgan Monroe State Park,"Low Gap Trail, Unionville, IN 47468",Easy,2.8,10/24/2019,10/24/2019
126,McCloud Nature Trails,McCloud Nature Park,"North Salem, Indiana 46165",Easy,5.4,10/24/2019,10/24/2019
127,McCormicks Creek Trail,McCormicks State Park,"Trail 8, Spencer, IN 47460",Moderate,4.2,10/24/2019,10/24/2019
128,McCormicks Creek Trail 2,McCormicks Creek State Park,"Trail 2, Spencer, IN 47460",Easy,2,10/24/2019,10/24/2019
129,McCormicks Creek Trail 9,McCormicks Creek State Park,"Bridal Trail, Spencer, IN 47460",Easy,1.1,10/24/2019,10/24/2019
130,Miller Woods Trail,Indiana Dunes National Park,"87 S Lake St, Gary, IN 46403",Easy,3.8,10/24/2019,10/24/2019
131,Milwaukee Trail,,"1000 Lincoln Ave, Bedford, IN 47421",Easy,10.9,10/24/2019,10/24/2019
132,Mogan Ridge East,,"14350 Utopia Rd, Derby, IN 47525",Easy,5.4,10/24/2019,10/24/2019
133,Mogan Ridge West,,"Morgan Rd, Derby, IN 47525",Moderate,10.5,10/24/2019,10/24/2019
134,Monon Rail Trail,,"1129 E 10th St, Indianapolis, IN 46202",Easy,18.8,10/24/2019,10/24/2019
135,Monon Trail,,"1309 Donnybrook Dr, Carmel, IN 46032",Easy,13.7,10/24/2019,10/24/2019
136,Moraine Nature Preserve,Moraine Nature Preserve,"240 Meska Rd, Valparaiso, IN 46383",Easy,2.5,10/24/2019,10/24/2019
137,Mounds Outer Loop,Mounds State Park,"Visitor Center, Union Township, IN 46012",Moderate,3,10/24/2019,10/24/2019
138,Mounds State Park Perimiter Loop,Mounds State Park,"Union Township, Indiana 46017",Easy,2.7,10/24/2019,10/24/2019
139,Mounds State Park Trail,Mounds State Park,"Visitor Center, Union Township, IN 46012",Easy,2,10/24/2019,10/24/2019
140,Mount Baldy Trail,Indiana Dunes State Park,"Rice St, Michigan City, IN 46360",Moderate,1.2,10/24/2019,10/24/2019
141,"Mount Jackson, Mount Holden and Mount Tom Loop",Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Moderate,1.7,10/24/2019,10/24/2019
142,Mount Saint Francis Loop Trail,,"102 Mt St Francis Dr, Floyds Knobs, IN 47119",Easy,2.8,10/24/2019,10/24/2019
143,Nebo Ridge Trail,Hoosier National Forest,"888 W Elkinsville Rd, Nashville, IN 47448",Moderate,15.9,10/24/2019,10/24/2019
144,Nine Penny Branch Loop,,"3215 Tunnel Mill Rd, Charlestown, IN 47111",Moderate,2.3,10/24/2019,10/24/2019
145,North Shore Loop Trail,Griffy Lake Nature Preserve,"3124 N Ramble Rd E, Bloomington, IN 47408",Moderate,3.1,10/24/2019,10/24/2019
146,North Tower Loop,Brown County State Park,"Nashville, Indiana 47448",Moderate,9.3,10/24/2019,10/24/2019
147,Northern Koteewi Trail Loop,Strawtown Koteewi Park,"23435 E 234th St, Noblesville, IN 46060",Easy,2,10/24/2019,10/24/2019
148,O'Bannon Woods Trail,O'Bannon Woods State Park,"7240 Old Forest Rd, Corydon, IN 47112",Moderate,15.2,10/24/2019,10/24/2019
149,Ogle Lake Trail 17,Brown County State Park,"Ogle Lake Dam, Nashville, IN 47448",Easy,1.2,10/24/2019,10/24/2019
150,Ogle lake Trail 9 Loop,Brown County State Park,"Park Ln, Nashville, IN 47448",Moderate,9.4,10/24/2019,10/24/2019
151,Ohio River Bluff Hikinh Trail,,"Corydon, Indiana 47112",Moderate,3.1,10/24/2019,10/24/2019
152,Oriole Trail,Hoosier National Forest,"23999-23285 IN-66, Leavenworth, IN 47137",Moderate,9,10/24/2019,10/24/2019
153,Ouabache State Park Trail Loop,Ouabache State Park,"5000-5998 IN-201, Bluffton, IN 46714",Easy,5.3,10/24/2019,10/24/2019
154,Pate Hollow Short Loop,Hoosier National Forest,"4850 IN-446, Bloomington, IN 47401",Easy,3,10/24/2019,10/24/2019
155,Pate Hollow Trail,Hoosier National Forest,"4850 IN-446, Bloomington, IN 47401",Moderate,6.1,10/24/2019,10/24/2019
156,Patoka Lake Main Trail,Newton-Stewart State Recreation Area,"County Rd 975 S, Eckerty, IN 47116",Moderate,6,10/24/2019,10/24/2019
157,Patton Cave via Grubb Ridge Loop,Charles C. Deam Wilderness,"Grubb Ridge Loop, Bloomington, IN 47401",Easy,4.9,10/24/2019,10/24/2019
158,Paul Ruster Trail,Paul Ruster Park,"11300 E Prospect St, Indianapolis, IN 46239",Moderate,1.2,10/24/2019,10/24/2019
159,Pine Hills Nature Preservation Trail,Shades State Park,"IN-234, Crawfordsville, IN 47933",Moderate,2.7,10/24/2019,10/24/2019
160,"Pine, Green Valley, Hesitation Point, Walnut, Lime Kiln, Aynes, North Tower",BrownCounty State Park,"East Rd, Nashville, IN 47448",Moderate,26,10/24/2019,10/24/2019
161,Pioneer Mothers Memorial Forest Trail,Pioneer Mothers Memoiral Forest,"1717 IN-37, Paoli, IN 47454",Easy,1.5,10/24/2019,10/24/2019
162,Pokagon State Park Trail 3,Pokagon State Park,"Angola, Indiana 46703",Easy,2.3,10/24/2019,10/24/2019
163,Pokagon Trail,Pokagon State Park,"6 Ln 100 Lake James, Angola, IN 46703",Moderate,8.4,10/24/2019,10/24/2019
164,"Pokagon Trail 3, 6 and 9",Pokagon State Park,"Angola, Indiana 46703",Moderate,4.6,10/24/2019,10/24/2019
165,Portland Arch Nature Preserve,Portland Arch Nature Preserve,"Portland Arch, Shawnee Township, IN 47932",Moderate,0.8,10/24/2019,10/24/2019
166,Potato Creek Trail 1,Potato Creek State Park,"South Bend, Indiana 46614",Easy,2.3,10/24/2019,10/24/2019
167,Potato Creek Trail 3,Potato Creek State Park,"North Liberty, Indiana 46554",Moderate,0.9,10/24/2019,10/24/2019
168,Potato Creek Trail 4 Loop,Potato Creek State Park,"65111-65251 Pine Rd, South Bend, IN 46614",Easy,2.5,10/24/2019,10/24/2019
169,"Potato Creek trails 1, 2 and 4",Potato Creek State Park,"South Bend, Indiana 46614",Easy,5.2,10/24/2019,10/24/2019
170,Potter's Covered Bridge Trail,Potters Bridge Park,"9534 Northern Oaks Ct, Noblesville, IN 46060",Easy,3.1,10/24/2019,10/24/2019
171,Prairie Duneland Trail,,"11 N Hobart Rd, Hobart, IN 46342",Easy,10.3,10/24/2019,10/24/2019
172,Rangeline Nature Preserve,Rangeline Park,"1307 S Rangeline Rd, Anderson, IN 46012",Moderate,4.1,10/24/2019,10/24/2019
173,Ritchey Woods Nature Preserve,Ritchey Woods Nature Preserve,"10496 Hague Rd, Fishers, IN 46038",Easy,1.3,10/24/2019,10/24/2019
174,Rock Shelter via Low Gap Trail,Morgan Monroe State Forest,"6251 Forest Rd, Unionville, IN 47468",Moderate,3.1,10/24/2019,10/24/2019
